NDUFS3,liver cancer,84,20103,20186,1
HERC6,liver cancer,23,20103,20126,0
TRAPPC9,liver cancer,46,20103,20149,1
TBCA,liver cancer,134,20103,20237,0
PAXBP1,liver cancer,3,20103,20106,0
CAND1,liver cancer,121,20103,20223,1
NFE2L3,liver cancer,44,20103,20147,1
FBXL14,liver cancer,16,20103,20119,1
C15orf48,liver cancer,8,20103,20111,1
CAD,liver cancer,39087,20103,59175,15
MGP,liver cancer,1361,20103,21464,7
COA4,liver cancer,7,20103,20110,0
NTHL1,liver cancer,124,20103,20226,1
PKIG,liver cancer,14,20103,20117,0
BBC3,liver cancer,754,20103,20852,5
LOX,liver cancer,7370,20103,27464,9
TTC31,liver cancer,1,20103,20104,0
CXCL16,liver cancer,670,20103,20771,2
MTHFSD,liver cancer,6,20103,20109,9
NSA2,liver cancer,14,20103,20117,0
ZDHHC21,liver cancer,9,20103,20112,0
MFGE8,liver cancer,489,20103,20591,1
CDK12,liver cancer,208,20103,20311,1
PCCA,liver cancer,311,20103,20413,1
TRIM66,liver cancer,13,20103,20116,0
ZNF511,liver cancer,3,20103,20106,0
PER1,liver cancer,1872,20103,21973,2
DCP2,liver cancer,260,20103,20363,0
SDE2,liver cancer,12,20103,20115,0
PHF6,liver cancer,181,20103,20284,0
CD247,liver cancer,83,20103,20186,0
LTBP2,liver cancer,172,20103,20275,4
SMAD6,liver cancer,519,20103,20619,3
ABCA3,liver cancer,342,20103,20444,1
CARHSP1,liver cancer,14,20103,20117,0
SH3BP5,liver cancer,41,20103,20144,0
SAAL1,liver cancer,3,20103,20106,0
AC125232.1,liver cancer,0,20103,20103,0
GOLPH3L,liver cancer,7,20103,20110,0
GPC3,liver cancer,826,20103,20844,85
MTCH1,liver cancer,17,20103,20120,0
PRKAB1,liver cancer,68,20103,20171,0
VEGFC,liver cancer,2787,20103,22884,6
IL34,liver cancer,263,20103,20365,1
EXD3,liver cancer,3,20103,20106,0
CLEC4M,liver cancer,165,20103,20268,2
RAD18,liver cancer,461,20103,20564,1
BDP1,liver cancer,76,20103,20179,0
PER3,liver cancer,571,20103,20673,1
PLAC9,liver cancer,6,20103,20109,0
RRM1,liver cancer,709,20103,20812,8
FAM98B,liver cancer,4,20103,20107,0
TPPP,liver cancer,127,20103,20230,0
SLC35G1,liver cancer,5,20103,20108,0
PALM3,liver cancer,9,20103,20112,0
RHEB,liver cancer,753,20103,20851,5
TUBA1B,liver cancer,24,20103,20127,1
CPSF6,liver cancer,79,20103,20182,0
RNF111,liver cancer,57,20103,20160,0
SPRED2,liver cancer,74,20103,20177,2
ZNF496,liver cancer,3,20103,20106,0
RAD21,liver cancer,483,20103,20586,1
COA6,liver cancer,16,20103,20119,0
SGK2,liver cancer,63,20103,20166,0
TTK,liver cancer,515,20103,20615,3
PLEKHA3,liver cancer,15,20103,20118,0
GCNT4,liver cancer,5,20103,20108,0
RTN2,liver cancer,23,20103,20126,0
IBA57,liver cancer,35,20103,20138,0
CRTC1,liver cancer,375,20103,20478,1
NOTUM,liver cancer,262,20103,20364,1
DHX40,liver cancer,5,20103,20108,0
BCKDHB,liver cancer,65,20103,20168,0
LHX2,liver cancer,298,20103,20401,1
ARL14EP,liver cancer,2,20103,20105,0
HPR,liver cancer,2430,20103,22531,2
ARL4D,liver cancer,16,20103,20119,0
KMT2D,liver cancer,469,20103,20570,2
