GLYATL1,liver cancer,4,20154,20158,0
RPS21,liver cancer,21,20154,20174,1
RPL38,liver cancer,23,20154,20177,0
hsa-mir-125b-2,liver cancer,6,20154,20160,0
ST3GAL6,liver cancer,40,20154,20194,1
COX6C,liver cancer,41,20154,20195,1
ALAD,liver cancer,1004,20154,21158,3
CTBS,liver cancer,553,20154,20707,0
IYD,liver cancer,43,20154,20197,0
RPS19,liver cancer,312,20154,20465,1
SLC38A4,liver cancer,63,20154,20217,0
ACOX2,liver cancer,47,20154,20201,0
LPA,liver cancer,10282,20154,30426,10
UBA52,liver cancer,53,20154,20207,0
GS1-124K5.4,liver cancer,0,20154,20154,0
HMGCL,liver cancer,42,20154,20196,0
RPL39,liver cancer,24,20154,20178,0
hsa-mir-125b-1,liver cancer,3,20154,20157,0
ADI1,liver cancer,30,20154,20184,0
RPS7,liver cancer,150,20154,20303,1
COA3,liver cancer,15,20154,20169,0
SURF2,liver cancer,19,20154,20173,0
HSD17B6,liver cancer,22,20154,20176,0
RPS20P14,liver cancer,0,20154,20154,0
CYP8B1,liver cancer,232,20154,20383,3
RPS28,liver cancer,29,20154,20183,1
PROX1,liver cancer,922,20154,21076,7
IDNK,liver cancer,6,20154,20160,0
RAB17,liver cancer,69,20154,20223,0
COX6A1,liver cancer,35,20154,20189,0
HAAO,liver cancer,20,20154,20174,0
GC,liver cancer,97770,20154,117843,81
TMEM205,liver cancer,6,20154,20160,1
MRPL24,liver cancer,2,20154,20156,0
DPYD,liver cancer,483,20154,20636,1
SLC1A2,liver cancer,584,20154,20738,0
GRHPR,liver cancer,62,20154,20216,0
FMO5,liver cancer,94,20154,20248,3
hsa-mir-10a,liver cancer,11,20154,20165,0
TMEM220,liver cancer,2,20154,20155,1
SS18L2,liver cancer,2,20154,20156,0
L2HGDH,liver cancer,53,20154,20207,0
SLC35D1,liver cancer,14,20154,20168,0
UBR3,liver cancer,18,20154,20172,0
ADH6,liver cancer,66,20154,20220,2
hsa-mir-26a-2,liver cancer,1,20154,20155,0
hsa-let-7a-2,liver cancer,3,20154,20157,0
FXYD1,liver cancer,92,20154,20246,0
hsa-mir-28,liver cancer,18,20154,20172,0
MRPL27,liver cancer,7,20154,20161,0
CDO1,liver cancer,93,20154,20247,3
STX8,liver cancer,19,20154,20173,0
NOP16,liver cancer,5,20154,20159,0
SERPING1,liver cancer,474,20154,20627,1
MTTP,liver cancer,303,20154,20456,1
FAM162A,liver cancer,14,20154,20168,0
CD14,liver cancer,13966,20154,34103,17
APOA1,liver cancer,2693,20154,22839,8
ACSM2A,liver cancer,7,20154,20161,0
NADK2,liver cancer,17,20154,20171,0
LCAT,liver cancer,2079,20154,22232,1
NNT,liver cancer,2967,20154,23118,3
SMAD1,liver cancer,2602,20154,22753,3
HIGD2A,liver cancer,9,20154,20163,1
ACADM,liver cancer,142,20154,20296,6
DECR2,liver cancer,6,20154,20160,0
AZGP1,liver cancer,152,20154,20306,3
EGFR,liver cancer,61049,20154,81078,125
ABCC6,liver cancer,475,20154,20629,2
VPS28,liver cancer,73,20154,20227,0
SLC31A1,liver cancer,271,20154,20425,2
ABCA1,liver cancer,3758,20154,23909,3
RCL1,liver cancer,32,20154,20186,0
CLYBL,liver cancer,11,20154,20165,0
PPP1R32,liver cancer,2,20154,20156,0
MT-CO2,liver cancer,81,20154,20234,1
FIS1,liver cancer,528,20154,20682,0
ISOC2,liver cancer,5,20154,20159,1
F7,liver cancer,1602,20154,21756,0
GSTK1,liver cancer,57,20154,20211,1
SLC25A18,liver cancer,6,20154,20160,0
ATP7B,liver cancer,1159,20154,21305,8
DHRS1,liver cancer,5,20154,20159,0
PITPNM2,liver cancer,13,20154,20167,0
ANXA10,liver cancer,62,20154,20215,1
AGXT2,liver cancer,37,20154,20191,0
NAPRT,liver cancer,29,20154,20183,1
C11orf54,liver cancer,2,20154,20156,0
LINC01023,liver cancer,1,20154,20155,0
CCDC167,liver cancer,0,20154,20154,0
SEC24D,liver cancer,53,20154,20207,0
CMBL,liver cancer,31,20154,20185,1
NDUFAB1,liver cancer,20,20154,20174,0
GNE,liver cancer,466,20154,20618,2
DNAJB9,liver cancer,59,20154,20213,2
