,auc,accuracy,f1
0,0.999315945945946,0.9861904761904762,0.939203354297694
1,0.9925256756756756,0.9685714285714285,0.8586723768736618
2,0.9996762162162162,0.9928571428571429,0.9698795180722891
3,0.9999662162162162,0.9978571428571429,0.991044776119403
4,0.9999916216216216,0.9973809523809524,0.9888776541961577
5,0.9999913513513513,0.9992857142857143,0.997002997002997
6,0.9946694594594595,0.9828571428571429,0.9243697478991596
7,0.9999881081081081,0.9988095238095238,0.9950149551345961
8,0.9988481081081081,0.9895238095238095,0.9551020408163265
9,0.9995424324324325,0.9923809523809524,0.9676113360323886
10,0.9992481081081082,0.9897619047619047,0.9559877175025588
11,0.9908443243243242,0.9773809523809524,0.9007314524555904
12,0.9992956756756757,0.9966666666666667,0.98582995951417
13,0.994385945945946,0.9761904761904762,0.8933901918976547
14,1.0,1.0,1.0
15,0.9935381081081082,0.9697619047619047,0.8710659898477157
16,0.9960372972972973,0.9802380952380952,0.9127234490010515
17,0.9999818918918919,0.996904761904762,0.9868287740628165
18,0.9953337837837838,0.9814285714285714,0.9177215189873418
19,0.9999756756756757,0.9966666666666667,0.9858012170385395
20,0.9829535135135135,0.9680952380952381,0.8530701754385966
21,0.9913713513513515,0.9788095238095238,0.9100101112234581
22,0.9998924324324325,0.9930952380952381,0.9702564102564103
23,1.0,1.0,1.0
24,0.9977445945945945,0.9826190476190476,0.9240374609781478
25,0.9900954054054055,0.9664285714285714,0.8498402555910542
26,0.9997775675675675,0.9933333333333333,0.9713114754098361
27,0.9992829729729729,0.99,0.9568788501026694
28,0.989754864864865,0.9616666666666667,0.8331606217616581
29,0.999781081081081,0.9954761904761905,0.9807106598984772
30,0.9999805405405405,0.9973809523809524,0.9888776541961577
31,0.9965291891891892,0.9754761904761905,0.8891280947255114
32,0.9970391891891893,0.9773809523809524,0.9041372351160444
33,0.9981816216216216,0.981904761904762,0.9232323232323232
34,0.9998737837837838,0.9940476190476191,0.9743589743589743
35,0.9998472972972974,0.9923809523809524,0.9670103092783504
36,0.9977424324324324,0.9797619047619047,0.9113660062565172
37,0.9964094594594592,0.9764285714285714,0.8996960486322189
38,0.9999991891891893,0.9988095238095238,0.9950248756218906
39,0.999541081081081,0.9921428571428571,0.9658738366080661
40,0.9985818918918918,0.986904761904762,0.9421661409043112
41,0.9936643243243243,0.9785714285714285,0.9079754601226994
42,0.9998648648648649,0.9930952380952381,0.9701952723535457
43,0.9966427027027027,0.9807142857142858,0.9174311926605505
44,0.9994362162162163,0.9902380952380953,0.958876629889669
45,0.9964664864864866,0.9802380952380952,0.9190243902439024
46,0.9985051351351352,0.9823809523809524,0.9227557411273486
47,0.9968856756756757,0.9866666666666667,0.9427402862985685
48,0.9999989189189189,0.9992857142857143,0.9969969969969971
49,0.9972848648648649,0.9823809523809524,0.9229166666666667
50,0.9978313513513514,0.9826190476190476,0.9240374609781478
51,0.9999054054054055,0.9961904761904762,0.984
52,1.0,1.0,1.0
53,0.996347027027027,0.9754761904761905,0.8903088391906283
54,0.9994113513513514,0.991904761904762,0.9654471544715447
55,0.999547027027027,0.9914285714285714,0.9630390143737166
56,0.9838713513513514,0.9692857142857143,0.8652037617554859
57,0.9972348648648649,0.9821428571428571,0.921793534932221
58,0.9999872972972973,0.9971428571428571,0.9878542510121457
59,0.996128918918919,0.9788095238095238,0.9054197662061636
60,0.9996272972972973,0.9914285714285714,0.9628865979381444
61,0.9961927027027027,0.9764285714285714,0.901296111665005
62,0.9995924324324325,0.9921428571428571,0.9662231320368475
63,0.9885359459459458,0.9816666666666667,0.9197080291970804
64,0.9997010810810811,0.996904761904762,0.98685540950455
65,0.996907837837838,0.9826190476190476,0.9275074478649453
66,0.9993202702702703,0.996904761904762,0.9868287740628165
67,0.9999456756756757,0.9947619047619047,0.9775510204081633
68,0.9998032432432433,0.9926190476190476,0.9680741503604531
69,0.9993867567567567,0.9902380952380953,0.958120531154239
70,0.9980267567567568,0.9811904761904762,0.918974358974359
71,1.0,0.9992857142857143,0.9969909729187563
72,0.9993997297297298,0.9892857142857143,0.9545913218970736
73,0.995637027027027,0.9907142857142858,0.9604060913705583
74,0.9962124324324324,0.975,0.8942598187311178
75,0.9962556756756756,0.9845238095238096,0.9319371727748691
76,0.9995410810810811,0.9926190476190476,0.9682051282051282
77,0.9996878378378379,0.9957142857142857,0.9816700610997963
78,0.994388918918919,0.9745238095238096,0.8881922675026124
79,0.9997181081081081,0.9957142857142857,0.9817073170731708
80,0.9955251351351352,0.9792857142857143,0.9123867069486405
81,1.0,1.0,1.0
82,0.9994783783783784,0.9940476190476191,0.9744114636642783
83,0.9983337837837838,0.9840476190476191,0.9319796954314721
84,0.9987651351351351,0.9864285714285714,0.94129763130793
85,0.9999975675675675,0.9995238095238095,0.998
86,0.9970816216216216,0.9826190476190476,0.9249743062692704
87,0.9945886486486487,0.9711904761904762,0.866886688668867
88,0.9997362162162162,0.991904761904762,0.9650924024640656
89,0.999195945945946,0.9890476190476191,0.9524793388429752
90,0.9988878378378379,0.99,0.9574898785425101
91,0.9998986486486486,0.9954761904761905,0.9809045226130653
92,0.9974108108108107,0.9814285714285714,0.9213709677419355
93,0.9981210810810811,0.9821428571428571,0.9233912155260471
94,0.9943924324324325,0.9816666666666667,0.9190325972660358
95,0.9994897297297297,0.99,0.9574036511156186
96,0.9994235135135136,0.9909523809523809,0.9616935483870968
97,0.9999978378378378,0.9990476190476191,0.9960079840319361
98,0.9898318918918918,0.9611904761904762,0.8206820682068207
99,0.9977762162162163,0.9861904761904762,0.9404517453798769
