,auc,accuracy,f1
0,0.9971518918918918,0.9783333333333334,0.9047120418848167
1,0.9973510810810811,0.979047619047619,0.907563025210084
2,0.9967137837837837,0.9804761904761905,0.9145833333333333
3,0.996712972972973,0.9780952380952381,0.9035639412997905
4,0.9970727027027028,0.9802380952380952,0.9138110072689511
5,0.9973781081081081,0.9797619047619047,0.9109947643979057
6,0.9972105405405405,0.9809523809523809,0.9173553719008264
7,0.9967548648648649,0.9811904761904762,0.9177939646201873
8,0.9973581081081082,0.9802380952380952,0.9136316337148802
9,0.9967764864864865,0.98,0.9121338912133891
10,0.9962608108108109,0.9804761904761905,0.9151138716356108
11,0.996622972972973,0.9783333333333334,0.9051094890510949
12,0.9974072972972973,0.981904761904762,0.9208333333333334
13,0.9966205405405407,0.9811904761904762,0.9177939646201873
14,0.9971875675675675,0.9802380952380952,0.9132706374085685
15,0.9966656756756757,0.9788095238095238,0.9068062827225131
16,0.9968021621621622,0.9814285714285714,0.9184100418410043
17,0.9970378378378378,0.9804761904761905,0.9138655462184874
18,0.9976745945945946,0.9802380952380952,0.913451511991658
19,0.9970032432432433,0.9802380952380952,0.9127234490010515
20,0.9970994594594594,0.9797619047619047,0.9113660062565172
21,0.9967654054054055,0.9797619047619047,0.9113660062565172
22,0.9958199999999999,0.981904761904762,0.9213250517598344
23,0.99684,0.9773809523809524,0.9005235602094239
24,0.9964197297297297,0.9802380952380952,0.9119830328738069
25,0.9969854054054054,0.9804761904761905,0.9140461215932915
26,0.9960964864864865,0.9804761904761905,0.9149377593360997
27,0.9968159459459459,0.9802380952380952,0.913451511991658
28,0.9969075675675677,0.9814285714285714,0.9194214876033059
29,0.9962681081081082,0.9807142857142858,0.9155370177267986
30,0.9969586486486487,0.9807142857142858,0.9160621761658032
31,0.9971613513513513,0.9795238095238096,0.9109730848861284
32,0.9971494594594594,0.9830952380952381,0.9261186264308013
33,0.9969743243243243,0.9797619047619047,0.9113660062565172
34,0.997071081081081,0.9802380952380952,0.9130890052356022
35,0.9967289189189189,0.9797619047619047,0.9117341640706127
36,0.9968245945945946,0.9804761904761905,0.9147609147609146
37,0.996988108108108,0.9811904761904762,0.9172774869109948
38,0.9961835135135135,0.9795238095238096,0.911522633744856
39,0.9971556756756756,0.9804761904761905,0.9145833333333333
40,0.9973232432432432,0.9795238095238096,0.9104166666666667
41,0.9970402702702703,0.9802380952380952,0.912906610703043
42,0.9962081081081081,0.9785714285714285,0.906054279749478
43,0.9964956756756757,0.9795238095238096,0.9094736842105263
44,0.9963767567567567,0.9797619047619047,0.9117341640706127
45,0.9970537837837837,0.9814285714285714,0.9184100418410043
