Var1,TCGA-BC-A10Q-11A-11R,TCGA-BC-A10R-11A-11R,TCGA-BC-A10T-11A-11R,TCGA-BC-A10U-11A-11R,TCGA-BC-A10W-11A-11R,TCGA-BC-A10X-11A-11R,TCGA-BC-A10Y-11A-11R,TCGA-BC-A10Z-11A-11R,TCGA-BC-A110-11A-11R,TCGA-BC-A216-11A-11R,TCGA-BD-A2L6-11A-21R,TCGA-BD-A3EP-11A-12R,TCGA-DD-A113-11A-12R,TCGA-DD-A114-11A-12R,TCGA-DD-A116-11A-12R,TCGA-DD-A118-11A-11R,TCGA-DD-A119-11A-11R,TCGA-DD-A11A-11A-11R,TCGA-DD-A11B-11A-11R,TCGA-DD-A11C-11A-11R,TCGA-DD-A11D-11A-12R,TCGA-DD-A1EB-11A-11R,TCGA-DD-A1EC-11A-11R,TCGA-DD-A1EE-11A-11R,TCGA-DD-A1EG-11A-11R,TCGA-DD-A1EH-11A-11R,TCGA-DD-A1EI-11A-11R,TCGA-DD-A1EJ-11A-11R,TCGA-DD-A1EL-11A-11R,TCGA-DD-A39V-11A-11R,TCGA-DD-A39W-11A-11R,TCGA-DD-A39X-11A-11R,TCGA-DD-A39Z-11A-21R,TCGA-DD-A3A1-11A-11R,TCGA-DD-A3A2-11A-11R,TCGA-DD-A3A3-11A-11R,TCGA-DD-A3A4-11A-11R,TCGA-DD-A3A5-11A-11R,TCGA-DD-A3A6-11A-11R,TCGA-DD-A3A8-11A-11R,TCGA-EP-A12J-11A-11R,TCGA-EP-A26S-11A-12R,TCGA-EP-A3RK-11A-11R,TCGA-ES-A2HT-11A-11R,TCGA-FV-A23B-11A-11R,TCGA-FV-A2QR-11A-11R,TCGA-FV-A3I0-11A-11R,TCGA-FV-A3I1-11A-11R,TCGA-FV-A3R2-11A-11R,TCGA-G3-A3CH-11A-11R
ENSG00000145824.11,26.82306144,13.52873953,16.65804673,10.17544515,9.25632022,17.73117895,24.83164193,8.97090033,8.13169164,15.09512963,10.11445502,9.28801782,20.41907346,16.91592385,18.03063302,14.66593263,9.60666055,15.02430338,11.3586539,24.14290334,23.71850665,21.83390551,11.69490255,7.00447386,15.65881724,10.45263353,16.31433905,11.22465872,15.61975028,9.65378283,9.55198217,18.56848204,2.44843703,15.47406963,22.55657089,11.87501668,40.28468364,19.33894528,14.1870532,14.78304999,10.12582356,7.09771324,11.34710045,15.43432799,20.4484296,20.72234118,6.08606163,22.82629296,12.38243261,16.41460846
ENSG00000146038.10,0.62719953,0.62542314,1.08954278,1.90357541,1.45933487,2.08258314,0.95592653,4.61740984,0.4417277,0.5458145000000001,2.19699957,1.11802763,1.02267672,4.46864229,1.06886495,0.56946357,1.30225908,0.61363914,1.92198884,0.59019547,1.10127062,0.8306146000000001,0.85848532,3.09121107,1.07720439,0.93656443,1.6866154999999998,0.7762097,2.39197035,0.72417688,0.55067451,0.26400269,0.91511203,0.63681589,0.4234406,0.39199566,0.76042146,0.44295909,0.72514148,0.51227033,4.12834972,0.57203698,0.44598922,3.88126604,3.52905645,8.497688,0.82384501,0.47046143,2.07853003,1.08592334
ENSG00000147257.12,1.2280826,2.49629537,0.77102494,1.03064313,1.36464713,2.33166111,0.98091378,1.68336618,0.52673395,0.93226145,1.91593483,1.81843359,0.52739246,31.77392789,1.27753722,0.53971355,1.34263798,0.62767501,6.11040057,0.48657984,5.03799514,1.09491956,0.50681041,4.79084471,1.28206924,0.4740311,10.8056897,0.60572703,5.9630233,3.43878267,0.92002672,0.71391616,1.44643423,1.6532691000000002,0.49554613,1.3038332,2.52109283,0.34984828,0.49901153,12.04599809,5.43277062,1.28610625,1.37888466,7.76606299,6.22359136,4.44512103,0.84644849,0.95938048,1.48803527,0.888648
ENSG00000148346.10,1.33585062,1.06827672,1.90755897,6.21199663,3.48961672,1.12340541,1.35846198,5.6780488,2.17017592,4.63027615,2.177138,8.48696276,2.7894181,3.96762777,0.88793954,0.5086787,5.77697687,27.31642915,2.2840929,0.46129796,1.15171487,0.89641813,2.98606787,4.64436975,5.2153822,0.49488719,0.89358703,4.26064269,0.87932255,1.36563098,0.76622137,1.41750067,2.29981476,20.83954027,0.52180873,1.6440148999999995,2.70726452,1.64453415,1.14789272,1.70406629,2.13926612,0.84055787,1.11778011,23.54138344,2.83995389,7.91161168,2.65545323,1.26589928,4.61405796,1.28204286
ENSG00000148795.5,1.35921789,0.69772978,0.18648235,0.66117239,0.37841419,2.04606086,0.29918794,0.39640785,3.43955928,0.16205060000000002,0.28943258,0.48739233,0.39120835,0.21013039,0.68941654,0.64018001,0.25446451,0.274117,0.62190134,0.69895238,0.1373164,1.0859956,0.47706288,0.17728434,0.53531922,1.14833024,0.47182804,0.34321321,0.68911247,0.70103551,1.39734421,3.4041763999999994,1.12692788,0.6309815,1.030661,0.71945404,0.53683837,1.36551644,0.94127372,1.0642345,0.47956584,0.33761332,0.66892831,0.20503799,0.81258436,0.28765171,1.1295146,0.80226674,0.7182573,0.59384687
ENSG00000150551.10,0.00811952,0.10110792,0.08124411,0.20865685,0.11971228,0.02096561,0.0300003,0.93489143,0.17684005,0.02068081,0.04740278,0.0087719,0.08717204,0.56374729,0.03162786,0.04493469,0.03645111,0.11077845,0.09312362,0.11259664,0.06425557,0.03673581,0.02309336,0.23756182,0.18593536,0.03415344,0.07620058,0.05237039,0.11223814,0.03174592,0.01253426,0.02377528,0.00729031,0.21181715,0.03841212,0.09901763,0.06782592,0.03276805,0.02851885,0.0,0.0472436,0.0,0.00763456,0.10710149,0.23601052,1.40145678,0.03775306,0.00798747,0.12003569,0.0550524
ENSG00000151715.6,1.96037151,9.57724529,3.76916871,7.27547176,6.3374839000000005,2.3931347,2.97020884,3.58284599,7.69497703,8.33291241,4.38693555,7.91234195,14.69798403,48.59824712,8.93158466,1.66494389,4.53687395,7.02919346,24.98804952,4.63981711,14.3425899,4.65914928,5.04813245,12.96227182,9.81550753,2.70511492,3.90001532,3.61801032,6.4094766,21.5775379,2.70166105,1.76186845,2.96265514,3.53674918,2.24457755,4.04757388,0.09608112,2.4282788,0.6665893,4.89708638,23.03877249,5.2729942,10.7129322,47.4445538,6.8589632,4.29653584,5.96841154,3.75514075,1.28168143,5.00087541
ENSG00000152137.5,0.76693783,0.6395253000000001,0.89834403,1.44418517,1.61536235,1.25096553,1.29034889,2.06497997,1.45897078,0.47091512,1.71331947,2.38950273,1.22773593,1.70826707,0.5494756,0.78634139,0.97757298,1.04735174,1.84560604,0.62401712,1.8424725,0.87780603,0.77903781,1.55509251,2.4828222,0.70856685,1.21607772,1.21459023,5.72448175,0.60908884,0.50211545,0.42608461,0.36889992,1.96501147,0.45893085,1.06054116,4.95745842,0.35234829,0.38482501,2.82060199,1.02596261,0.65451831,0.19959841,13.08579865,3.92000273,10.40363648,0.54763592,0.63994728,0.97858471,0.82908593
ENSG00000152583.11,4.57924658,1.49483138,2.56121082,5.64507703,2.05535347,8.29001087,5.11956931,6.36182498,4.81096233,3.23270193,12.096387,3.21900776,6.13179734,3.77885003,3.83955227,3.06257646,1.99255185,2.14363168,6.70224947,2.23167021,4.91987601,3.86077833,6.31184191,3.06836292,4.8476349,5.16491954,5.15999392,2.71744042,2.89193415,4.08511701,3.94319826,2.05749513,6.4126555,3.6868048,3.80157387,4.92497812,6.7910194000000015,1.71620942,2.63780928,0.89505663,8.22601251,4.43027425,4.65527783,4.74568644,9.7959639,6.16820521,3.47270864,3.14724298,5.21263553,4.72464047
ENSG00000154096.12,0.41978173,0.26753924,0.49977815,0.76154742,0.7188191999999999,0.84921892,0.68391587,0.0604101,0.46323724,0.64545079,2.40111483,0.94272845,0.72747828,2.3109623,0.92702483,0.23322811,0.48968149,0.46283399,2.12293573,0.29466521,1.25883995,0.45611925,0.73014798,1.27102878,0.43522996,0.63677921,0.87811566,0.21745777,1.54696231,1.68650423,0.19134579,0.23470716,1.16634637,2.46142749,0.28928704,0.5643253,1.98186776,0.18675304,0.46438799,0.96756755,1.34145525,0.52575653,0.53145827,2.17181486,5.19884375,5.45053335,0.19979495,0.38368982,0.8437385000000001,0.55067537
ENSG00000156006.4,13.56976083,20.90301192,11.2161128,18.77225913,33.103682899999995,34.3789322,15.64075793,17.57159457,13.49502603,40.58739401,14.70275216,24.10263695,46.74365412,15.90682525,42.24028626,36.40077135,27.83914376,9.70157784,32.02706003,41.76169889,29.83626554,33.84751961,28.79159555,19.64898643,26.37595793,27.72938985,26.75765863,32.30552776,29.11768451,20.95281423,32.49665326,21.51558577,28.70406019,13.5261758,26.12936702,6.81082522,24.02104853,41.52109677,32.97150363,15.03832252,24.1565273,27.40078786,26.22891262,18.23396797,26.98446474,21.49587979,18.92843849,34.61136985,16.23565411,33.0315862
ENSG00000156510.12,0.10576168,0.28272354,0.3169646,0.75383456,1.37288258,0.36510889,0.36528667,2.42457772,2.96966078,1.4132682,2.35474488,1.37607837,0.37026115,8.22298342,2.74767236,0.56621509,1.19318642,2.39391847,4.04110394,0.25506748,3.90736218,7.96816024,0.27028838,3.01109791,0.78975597,0.1121843,1.10210431,0.40336145,7.92126551,0.53486552,0.10292867,4.70253165,2.68779842,0.6597714,0.22116507,0.12897633,0.64446571,2.14339575,0.25303366,0.40862309,7.69888845,0.40932543,0.25077357,14.21975976,2.56181414,3.36756545,1.15883382,1.26659281,1.09674126,0.58347092
ENSG00000157227.11,3.92212569,5.22407934,4.07276171,7.32045528,5.06954959,4.97307798,5.62076327,8.86405605,2.83743961,4.16801773,11.56234774,5.35107204,3.82931319,6.7686152,3.87242438,2.33080595,5.35319879,5.38704885,5.52226848,3.1114552000000004,5.35102568,3.22218481,5.5401735,6.93755333,4.5418585999999985,3.1703757,4.67154022,3.92195105,7.27160078,4.00523476,3.06796237,2.8743642999999994,3.01736557,4.78607388,3.49374777,4.84723251,7.516887,2.43890814,2.05458397,3.5041347000000003,7.6516543000000015,3.03139363,3.82399195,9.97522984,8.92652699,22.63159876,2.88439502,4.17770529,6.41229395,3.90948189
ENSG00000158882.11,1.7803914,3.62397671,1.44979618,2.10533388,2.34842081,1.12239034,1.52355773,2.70433477,3.21396462,1.32452779,2.76117573,1.7754819,2.00733706,3.42278361,2.00863601,2.10899316,1.34192408,2.17637083,2.03170323,2.3238445,2.6388353,1.75561207,1.78952889,2.22333845,1.90330763,1.53284875,1.72374396,1.66682106,1.99896316,2.26407606,1.09385335,1.58664757,1.65737646,2.35829619,1.76529923,1.72097401,3.16127783,1.82031599,0.98297694,1.65588199,2.74571674,1.47282913,1.81962086,3.68171549,2.52887893,2.8161878,1.51721175,1.94473683,3.01644703,1.75910406
