,ensembl
245,ENSG00000125247.14
246,ENSG00000125355.14
247,ENSG00000125459.13
248,ENSG00000125848.9
249,ENSG00000126091.18
250,ENSG00000126217.19
251,ENSG00000126246.8
252,ENSG00000126368.5
253,ENSG00000126561.15
254,ENSG00000127561.13
255,ENSG00000127824.12
256,ENSG00000127948.12
257,ENSG00000127989.12
258,ENSG00000128039.9
259,ENSG00000128272.13
260,ENSG00000128294.14
261,ENSG00000128594.6
262,ENSG00000128694.10
263,ENSG00000128918.13
264,ENSG00000128944.12
265,ENSG00000128973.10
266,ENSG00000129295.7
267,ENSG00000129596.4
268,ENSG00000129657.13
269,ENSG00000130066.15
270,ENSG00000130176.6
271,ENSG00000130193.7
272,ENSG00000130201.6
273,ENSG00000130348.10
274,ENSG00000130695.12
275,ENSG00000131019.9
276,ENSG00000131269.14
277,ENSG00000131634.12
278,ENSG00000131746.11
279,ENSG00000131773.12
280,ENSG00000131876.15
281,ENSG00000131981.14
282,ENSG00000132182.10
283,ENSG00000132196.12
284,ENSG00000132275.9
285,ENSG00000132434.8
286,ENSG00000132716.17
287,ENSG00000132781.16
288,ENSG00000132801.6
289,ENSG00000132819.15
290,ENSG00000133169.5
291,ENSG00000133195.10
292,ENSG00000133328.3
293,ENSG00000133433.9
294,ENSG00000133687.14
295,ENSG00000134184.11
296,ENSG00000134259.3
297,ENSG00000134278.13
298,ENSG00000134461.14
299,ENSG00000134775.14
300,ENSG00000134874.16
301,ENSG00000134897.12
302,ENSG00000134917.9
303,ENSG00000134986.12
304,ENSG00000135047.13
305,ENSG00000135063.16
306,ENSG00000135218.16
307,ENSG00000135637.12
308,ENSG00000135678.10
309,ENSG00000135917.12
310,ENSG00000136098.15
311,ENSG00000136235.14
312,ENSG00000136271.9
313,ENSG00000136531.12
314,ENSG00000136636.11
315,ENSG00000136856.16
316,ENSG00000137266.13
317,ENSG00000137338.5
318,ENSG00000137411.15
319,ENSG00000137509.9
320,ENSG00000137713.14
321,ENSG00000137726.14
322,ENSG00000137970.7
323,ENSG00000138363.13
324,ENSG00000138617.13
325,ENSG00000138755.5
326,ENSG00000138785.13
327,ENSG00000138795.8
328,ENSG00000138835.21
329,ENSG00000139112.9
330,ENSG00000139192.10
331,ENSG00000139263.10
332,ENSG00000139508.13
333,ENSG00000139832.4
334,ENSG00000139946.8
335,ENSG00000140105.16
336,ENSG00000140450.8
337,ENSG00000140743.6
338,ENSG00000140830.7
339,ENSG00000141012.11
340,ENSG00000141337.11
341,ENSG00000141404.14
342,ENSG00000141542.9
343,ENSG00000141560.13
344,ENSG00000141750.6
345,ENSG00000142178.7
346,ENSG00000142794.17
347,ENSG00000142856.15
348,ENSG00000142920.15
349,ENSG00000143036.15
350,ENSG00000143179.11
351,ENSG00000143321.17
352,ENSG00000143412.8
353,ENSG00000143786.6
354,ENSG00000143801.15
355,ENSG00000143816.7
356,ENSG00000143839.13
357,ENSG00000144061.11
358,ENSG00000144115.15
359,ENSG00000144362.10
360,ENSG00000145675.13
361,ENSG00000145850.7
362,ENSG00000146049.1
363,ENSG00000146054.16
364,ENSG00000146243.12
365,ENSG00000146278.10
366,ENSG00000146411.5
367,ENSG00000146707.13
368,ENSG00000147099.18
369,ENSG00000147223.5
370,ENSG00000147573.15
371,ENSG00000147912.11
372,ENSG00000148187.16
373,ENSG00000148824.17
374,ENSG00000148926.8
375,ENSG00000149256.13
376,ENSG00000149269.8
377,ENSG00000149292.15
378,ENSG00000149485.15
379,ENSG00000149591.15
380,ENSG00000150045.10
381,ENSG00000150510.14
382,ENSG00000150907.6
383,ENSG00000151117.7
384,ENSG00000151365.2
385,ENSG00000152128.13
386,ENSG00000152154.9
387,ENSG00000152270.7
388,ENSG00000152578.11
389,ENSG00000152582.11
390,ENSG00000153446.14
391,ENSG00000153774.7
