;TCGA-BC-A10Q-11A-11R;TCGA-BC-A10R-11A-11R;TCGA-BC-A10T-11A-11R;TCGA-BC-A10U-11A-11R;TCGA-BC-A10W-11A-11R;TCGA-BC-A10X-11A-11R;TCGA-BC-A10Y-11A-11R;TCGA-BC-A10Z-11A-11R;TCGA-BC-A110-11A-11R;TCGA-BC-A216-11A-11R;TCGA-BD-A2L6-11A-21R;TCGA-BD-A3EP-11A-12R;TCGA-DD-A113-11A-12R;TCGA-DD-A114-11A-12R;TCGA-DD-A116-11A-12R;TCGA-DD-A118-11A-11R;TCGA-DD-A119-11A-11R;TCGA-DD-A11A-11A-11R;TCGA-DD-A11B-11A-11R;TCGA-DD-A11C-11A-11R;TCGA-DD-A11D-11A-12R;TCGA-DD-A1EB-11A-11R;TCGA-DD-A1EC-11A-11R;TCGA-DD-A1EE-11A-11R;TCGA-DD-A1EG-11A-11R;TCGA-DD-A1EH-11A-11R;TCGA-DD-A1EI-11A-11R;TCGA-DD-A1EJ-11A-11R;TCGA-DD-A1EL-11A-11R;TCGA-DD-A39V-11A-11R;TCGA-DD-A39W-11A-11R;TCGA-DD-A39X-11A-11R;TCGA-DD-A39Z-11A-21R;TCGA-DD-A3A1-11A-11R;TCGA-DD-A3A2-11A-11R;TCGA-DD-A3A3-11A-11R;TCGA-DD-A3A4-11A-11R;TCGA-DD-A3A5-11A-11R;TCGA-DD-A3A6-11A-11R;TCGA-DD-A3A8-11A-11R;TCGA-EP-A12J-11A-11R;TCGA-EP-A26S-11A-12R;TCGA-EP-A3RK-11A-11R;TCGA-ES-A2HT-11A-11R;TCGA-FV-A23B-11A-11R;TCGA-FV-A2QR-11A-11R;TCGA-FV-A3I0-11A-11R;TCGA-FV-A3I1-11A-11R;TCGA-FV-A3R2-11A-11R;TCGA-G3-A3CH-11A-11R
319;530.44445628;834.02482258;597.5369171;377.25605646;440.08217937;539.54597479;421.70326172;231.42929046;340.60013714;279.28943319;347.83486375;471.03525795;867.68830284;708.66647027;525.92230876;398.49846518;309.98071284;246.99192753;321.98194047;557.1550758999998;768.42689866;329.91175144;277.58885972;556.48550336;431.75200107;454.61431299;506.97685087;328.11567059;438.35613051;167.37844039;420.26421266;346.51824945;409.66946223;258.05288579;652.74854058;524.60040713;214.31029125;314.10960575;448.87994526;343.79665921;546.93210588;434.71488893;419.48102784;820.01934312;452.15971631;186.46928184;451.21469019999995;582.9491257999998;388.52728194;650.4002986
320;4523.70425344;5006.70368815;3962.82311078;3976.92185538;5517.06165389;4156.99362921;3472.62895762;3657.060054;4049.0733671999997;4144.14052174;2609.53943523;3622.82141097;4985.9816288;5016.3667626000015;4367.99501778;4438.85707345;4735.06396222;2479.77174351;4173.51829855;4327.497284100001;5400.16262414;3931.63768512;3270.75111511;4098.83901095;5484.09558014;4911.99730877;4199.10545234;3914.31334815;4190.8995563;3773.69301845;5757.02204595;4180.41879532;4489.22106322;4255.42534626;5774.65298188;5188.70450022;3782.54419697;4889.83478789;5892.31867195;5692.14326174;5603.24827122;4363.69674115;4270.10718153;5751.92728434;3553.07879244;3457.06090618;4317.68284116;4212.79750721;4780.83715919;4488.94756521
354;48.58252606;92.41701015;64.99320072;53.55313846;116.10254437;58.70786457;74.67054024;169.67104393;51.19811642;115.19630032;135.15566040000002;60.47687621;89.69846109999996;124.16499037;43.69280071;62.94207683;54.75195063;37.49639107;83.29643429;52.70144293;92.68718773;52.78060882;86.52014609;103.75581842;69.11199479;51.91941467;42.83916909;135.7369749;71.38655673;52.04703392;87.04858201;127.95167202;166.03135289;327.73638985;125.60442641;160.4674649;86.04984696;112.55501327;141.56048328;51.69132148;48.81455643;67.59907113;48.34810744;96.54415058;85.98582483;148.78675539;73.49316178;88.03966009;150.64469509;61.58976919
364;492.15328461;587.10339532;445.04425379;421.75295688;486.81997728;500.92208922;531.60476852;388.97042997;457.57987892;313.94443925;275.30789629;777.33076831;1203.60683993;975.66365183;532.37456683;498.95696893;292.87064096;177.0495456;487.01110315;529.38286122;702.8758097;494.84480923;309.32527938;689.89885968;566.39180943;428.61573764;633.44276137;332.54512085;427.47581369;476.05101831;609.35396522;484.41687543;322.91741022;519.94952903;433.67212989999996;323.4020573;406.85223464;467.19965711;1071.26156012;853.51720335;548.53962261;514.34165279;594.6552922999998;826.53240369;409.80629867;192.42498373;536.26873532;675.64665382;374.04432267;619.11773657
373;1616.76214676;1872.95679586;1264.55944576;1306.88597333;1140.28756626;1929.50934512;1490.51427791;1017.55957083;1396.81275825;1219.95061703;1136.41974379;1680.81644588;1362.47104932;1767.92641063;1585.5335929;1360.39126776;1880.8842616999998;1688.14866415;1359.76011089;1796.51891375;1898.6002202999998;1893.41623683;1994.82519518;1636.63611125;1042.17481474;1204.65771774;1640.29137323;1456.25216922;1759.99178125;1607.03781311;1921.15005336;1951.83449937;1127.04498864;1599.00285918;1940.51442256;1994.53082273;1489.41261743;1798.48004393;876.07484934;1376.98862505;1743.77976166;1980.6088829;1616.02679905;1797.56046727;1550.13653525;1201.90324497;1799.21719296;1676.52755983;1402.1526405;1514.96960358
406;910.77619861;827.77746587;779.6130357000003;724.63562504;695.31352145;1149.53045821;963.65007145;1037.0578157;997.26321579;1088.7860878;870.49763459;783.80849058;1103.58238897;956.26929009;712.35381163;629.59149196;1200.60331435;960.98171368;759.82620253;994.67407234;1031.58434169;884.84631363;1354.94763076;1292.61991526;976.13255533;874.30529368;674.7263191000002;975.09448124;524.97108575;911.03858424;987.99801011;1070.69299329;1322.03343427;1227.04115911;825.60022839;1255.77264523;1193.06059533;1095.73560321;973.63959863;1014.43565478;911.0512288999997;806.24734171;654.81328087;1169.308835;721.77120322;1061.29378246;1064.54475903;968.4865025;1173.44721304;719.90331641
411;639.75397934;765.77724571;537.17808103;728.39022233;391.46996108;455.65264083;628.60698146;366.38340855;710.76635236;410.03824486;440.30905237;531.72655825;539.36268704;262.7263854;468.56400106;560.43873869;552.99589782;378.76053872;338.85392939;452.53336949;287.0519958;538.23212419;750.08941879;604.29260567;430.76189698;354.55622466;345.05489322;411.74332503;379.43547881;428.09301305;708.66035932;719.13641851;382.08291297;427.02376464;681.56365625;463.20177892;737.53725597;650.21491859;476.08759777;417.62824221;269.53871021;519.06066029;409.75147825;163.35008294;392.69074377;276.94423785;644.55457337;591.91372451;621.55787048;376.50060210000004
435;692.79480671;508.16292821;430.32751493;505.75287801;765.88200297;500.03222962;416.65782022;374.55948846;587.48709426;582.94886794;321.96015923;476.76203487;496.39768498;565.39719829;1275.78781625;718.14316588;866.88732233;334.56408656;617.12293742;545.73881424;645.59495654;570.37302634;391.62205446;534.23439378;668.9885627;610.08510386;792.95832343;363.79067181;913.8363365;372.03227738;755.60594865;487.21599041;445.84530653;645.14195125;615.09332049;549.83453116;614.30802093;584.98384753;734.5548633999997;792.22798339;597.83734388;688.308816;508.26504486;536.89016241;787.61014725;569.97403401;778.28892652;587.52864974;669.10103904;862.46570237
440;6325.46125958;4666.39675824;5358.08229539;4762.29355767;7046.85428048;4947.21992163;4246.86725584;3496.14147409;4366.54636413;3207.44677717;4047.65024272;5610.988304199999;4028.58408018;7546.60099902;7137.47034491;5825.38609682;2535.85718046;3529.86587514;6488.7056016999995;5460.56531983;6577.2449368;5308.57717073;2396.35027636;4290.37601973;8083.84093545;6687.7067563;6878.03275549;6424.97001935;8918.81069234;4612.40009108;5988.90921479;9024.80030982;8016.88289167;11951.9351266;5758.01206566;3978.84079487;4620.22009922;5767.68240762;11502.890907500001;9870.53399994;7332.06039475;8617.10312378;5897.9410122;7846.03664789;7764.9082531;5186.13876854;5205.85997018;4824.23322439;5229.26004641;6884.07668336
455;171.85023969;146.86416689;182.93104291;224.42680661;254.69231295;148.36364451;227.84081674;298.63684881;191.58443556;156.10015622;278.21668362;176.37728276;161.68223204;135.61407367;216.55590669;214.45573934;126.35407282;157.42910585;179.04632134;166.25996875;168.23781215;146.08421141;119.46906352;181.09143073;228.65218231;207.97130999;186.421747;237.14202083;174.01833292;213.16860202;196.32309186;230.86470219;228.20404376;412.37522777;255.13449309;376.03363474;348.56053191;164.94625929;298.00470149;200.08791098;178.26375495;239.55237541;203.02930165;229.21595327;218.58006802;335.72884756;179.48893178;181.5391653;248.42832217;182.15626932
472;568.93596779;1111.41475566;921.63285782;571.88327667;864.15575986;429.44295279;335.59857437;796.97358604;343.45298441;634.80216146;439.77845036;725.52498368;727.67479262;841.98508514;538.13736886;590.27861322;380.86838929;540.40761959;463.72143562;716.16889473;409.64994668;505.96739984;589.99677338;518.71499206;921.50186837;613.21988974;605.10664139;1283.3028018;845.10906147;623.70627269;348.96050588;1081.29669668;687.58609392;1658.98679211;535.45721444;378.65758495;197.15430799;564.08743841;687.93969686;359.43798589;766.57808496;557.02375026;1048.98149194;851.60911049;678.03214378;646.54232215;435.00323403;503.90548383;321.64356807;604.3355707999998
474;31626.484420599998;33276.1590097;39516.9705089;32660.489837099998;30469.3798452;35771.1491763;38016.1417524;30203.7582333;28346.4959347;20070.1755472;33033.3981571;46358.532384599996;16913.7930051;26988.56656090001;47628.31969780001;39295.4598871;13804.5938537;14182.5873095;36798.1483988;31440.796846900004;29219.54298820001;37505.316340699996;17328.869401900003;25598.1944991;43614.748453800006;36896.88885990001;44486.6331203;31623.7984806;45301.7667918;28123.006602999998;40451.7592233;42652.5262399;31549.41446750001;17275.485627000002;55227.30694839999;37456.2155009;12849.317761499999;29555.9750175;30638.2222819;25604.636182;33049.6434255;53484.763707699996;54790.89962999999;30778.820250599998;37308.08028230001;31171.56362120001;39453.9951264;47718.6479023;40572.45725930001;42829.2461353
496;222.41039759;174.48915679;107.68858111;183.90127653;230.82099037;147.61856343;157.87909499;69.87866145;174.33435136;176.1961615;74.98226383;155.62024839;280.64877702;165.76027969999996;171.23668638;226.93956044;136.02034434;124.34080684;211.52561909;213.07172638;172.16853668;136.5471555;93.13683482;86.97077293;311.81681134;143.21972893;152.11413557;181.56201061;253.13453029;201.97070545;214.00124275;120.63800928;138.92493206;522.07446862;99.35745145;83.39677675;153.80643329;227.80496585;322.01658702;239.88872880000002;153.05978733;159.698034;202.62249068;365.16470539;249.98624095;210.33442513;170.84605325;118.77523721;78.68266761;252.84091734
