ensembl,TCGA-BC-A10Q-11A-11R,TCGA-BC-A10R-11A-11R,TCGA-BC-A10T-11A-11R,TCGA-BC-A10U-11A-11R,TCGA-BC-A10W-11A-11R,TCGA-BC-A10X-11A-11R,TCGA-BC-A10Y-11A-11R,TCGA-BC-A10Z-11A-11R,TCGA-BC-A110-11A-11R,TCGA-BC-A216-11A-11R,TCGA-BD-A2L6-11A-21R,TCGA-BD-A3EP-11A-12R,TCGA-DD-A113-11A-12R,TCGA-DD-A114-11A-12R,TCGA-DD-A116-11A-12R,TCGA-DD-A118-11A-11R,TCGA-DD-A119-11A-11R,TCGA-DD-A11A-11A-11R,TCGA-DD-A11B-11A-11R,TCGA-DD-A11C-11A-11R,TCGA-DD-A11D-11A-12R,TCGA-DD-A1EB-11A-11R,TCGA-DD-A1EC-11A-11R,TCGA-DD-A1EE-11A-11R,TCGA-DD-A1EG-11A-11R,TCGA-DD-A1EH-11A-11R,TCGA-DD-A1EI-11A-11R,TCGA-DD-A1EJ-11A-11R,TCGA-DD-A1EL-11A-11R,TCGA-DD-A39V-11A-11R,TCGA-DD-A39W-11A-11R,TCGA-DD-A39X-11A-11R,TCGA-DD-A39Z-11A-21R,TCGA-DD-A3A1-11A-11R,TCGA-DD-A3A2-11A-11R,TCGA-DD-A3A3-11A-11R,TCGA-DD-A3A4-11A-11R,TCGA-DD-A3A5-11A-11R,TCGA-DD-A3A6-11A-11R,TCGA-DD-A3A8-11A-11R,TCGA-EP-A12J-11A-11R,TCGA-EP-A26S-11A-12R,TCGA-EP-A3RK-11A-11R,TCGA-ES-A2HT-11A-11R,TCGA-FV-A23B-11A-11R,TCGA-FV-A2QR-11A-11R,TCGA-FV-A3I0-11A-11R,TCGA-FV-A3I1-11A-11R,TCGA-FV-A3R2-11A-11R,TCGA-G3-A3CH-11A-11R
ENSG00000008517.15,23.89297475,17.14192869,62.40945643,33.38401125,120.97257044,16.96403861,41.20886749,63.59975294,44.79382299,133.02935247,128.13437095,12.82392386,39.35230174,84.09617471,46.5278213,11.466454,105.03833786,34.62512374,65.68162459,13.63779303,89.12571929,31.92862775,23.32889312,60.83795125,81.09907779,49.10853865,22.3064505,60.25760431,92.85871481,103.01554369,3.0006527000000003,12.5137177,51.8759433,98.21049299,8.69526447,39.25186071,40.85796442,12.25325269,16.62703295,31.97812276,46.85543912,16.28440088,16.99143708,164.69567563,77.96959507,129.80445839,17.57644335,6.68808991,40.81695443,45.87790012
ENSG00000008988.8,107.4918726,90.5534383,105.6903136,99.55421153,116.70191757,94.03370106,112.33149479,144.99020934,106.78590448,94.31409699,176.69935947,94.82258222,77.40779868,81.81029877,102.75541719,131.08250431,56.87568529,78.25079938,85.82027552,89.95043428,88.21774898,84.32696656,74.50948292,76.84888728,125.84445388,118.92411691,82.86494415,128.82521801,97.91759575,100.45183432,111.25751003,129.1764924,120.99847828,240.79989189,142.23622604,150.40276988,170.29910049999995,97.40031594,182.25701154,93.00106563,74.92069372,116.21986599,110.30335621,108.09235755,137.20497629,153.13879857,85.87340754,102.4192559,154.43963748,91.80801575
ENSG00000009724.15,46.0790928,47.27858670000001,36.01757498,44.06188071,48.42150545,38.85467253,45.05737091,35.90244485,42.11592069,46.19366813,36.42506729,33.65542692,46.40931306,28.07770745,40.8152977,52.8335892,46.57634296,38.708903,42.83177406,53.59196174,38.21746691,54.09994876,45.56378569,39.69933743,52.00219756,35.24953172,36.79042526,50.92810288,52.48427189,46.90907247,53.73031386,55.1403621,52.55827379,68.12804584,45.23890837,60.339682,59.31262945,58.7335894,52.65453596,43.13547652,40.92579821,54.99316768,36.45225812,37.2665569,38.45117176,42.638765,51.79153505,42.42913337,70.22364358,57.30560815
ENSG00000009765.13,5.88738772,3.92156191,4.11009608,3.68125632,1.55700481,6.57978611,6.91170085,4.0742933,3.34141824,2.27218308,2.87675191,4.52886105,3.14110097,2.05230555,4.41286231,4.68590519,2.56412372,1.27302883,4.89081016,5.64628071,1.86027709,6.11405553,3.15364211,2.25405669,4.36054493,2.90811697,5.31169432,3.93751353,6.58625948,1.82523439,5.67190158,4.52287197,2.25360518,1.2236714,4.52878259,2.5376608,3.4172431000000003,2.73256582,2.11987382,3.13379955,2.96095944,3.32345648,3.82970311,1.53633584,5.02215904,3.47970278,5.03547621,4.75415973,3.36225057,4.07508936
ENSG00000010256.9,54.31679288,54.02532949,48.88927449,62.59094583,77.9752562,48.97120261,61.89571494,57.13494132,57.48649461,44.03479373,53.44271955,59.75974357,56.07988734,64.94002768,66.92270866,67.71392850000001,49.63300783,45.7222398,68.76900529,55.39086858,65.91389126,62.15160983,41.48328225,56.29145504,61.38366412,61.92103967,71.05769432,64.24776983,66.11001135,69.40149533,72.85355214,68.82491859,56.50210749,111.37788373,61.20361618,59.83309947,74.69227142,71.73373687,72.89006178,104.99783977,70.98204225,72.41447641,66.26625104,70.84882738,60.6902953,61.43642914,62.44784353,58.21409488,75.38176406,66.18216868
ENSG00000010379.14,1.77241888,2.73731299,1.33421871,0.82211956,1.4503652,2.26744399,1.8333207,3.16763288,2.32961571,1.8770945,1.8054395,1.57574193,2.52727018,0.67447967,4.18559468,2.30533078,0.99461799,0.45407388,3.37477118,3.38324466,1.68024623,2.09526585,2.55116677,0.694521,2.77016521,2.23273184,1.63273351,1.11640394,2.42453438,1.68734487,3.30970053,3.15585329,1.78204542,2.63809095,3.68664036,2.30781326,3.16593444,3.00368726,3.32886184,2.44650747,0.99368567,1.69062476,2.49983228,0.55175694,2.46712483,1.07574322,1.63106051,5.26255967,4.88116117,2.08785057
ENSG00000019995.6,2.48684406,2.57636675,1.25706731,1.93439046,1.12019772,3.34778526,3.19061005,1.25421777,1.352282,1.52873066,2.24032316,2.57720891,1.91208305,2.77809707,2.7724315,2.83479947,2.84313577,1.82328991,2.73599788,3.59944238,2.17231669,3.81946993,4.59452057,2.60427241,0.96659706,1.77044868,3.39947586,2.05083956,2.92975509,2.06025379,3.98023522,2.51899354,1.12963931,0.45724976,2.51477943,1.86903918,2.79348191,2.37386626,0.37112101,2.3128955,3.57465313,2.55603649,2.66093971,2.12831374,2.69657675,2.2083744,2.00870746,2.8321631000000003,1.46542493,2.95953103
ENSG00000021826.13,195.95744044,175.90493311,153.37295967,199.83590294,255.33799022,207.43170519,277.00466595,96.74456213,236.46118551,273.68141267,166.09835056,203.46276357,125.90775689,187.09199019,437.24447589,225.11104789,432.81196286,257.89991703,179.58488854,182.78774949,212.90699729,257.8383033,111.06818633,266.38538958,139.85892776,196.25769308,416.36576797,189.99010291,306.48561348,110.48529062,182.06739444,149.62995098,108.3490933,110.45757717,213.07261826,234.97045692,74.29494778,131.47471192,129.69331973,192.91907127,254.40529402,267.8730942,144.97325062,61.59858027,168.67541379,98.97438658,245.21262673,263.32360886,285.1516038000001,274.41639265
ENSG00000025423.10,295.97988451,328.18644582,303.67791869,301.67182671,321.1854672,333.52324688,211.14240244,193.93118833,289.91473269,323.50926668,163.32926771,345.20222461,399.65861797,349.09783585,364.8921769,335.65413863,359.37335204,295.84362468,218.48474601,428.07126077,457.05747134,287.20502646,336.88768032,289.39385843,254.01966321,324.66832585,390.42919929,339.98946737,258.41147554,392.63787966,368.82618203,264.97904874,185.92691408,214.07554576,313.48907648,208.15678417,207.08735205,332.93976364,240.55430923,291.84159791,276.45294247,301.87792513,418.65574261,177.4944517,287.92764271,145.02405494,297.71778302,324.00770658,217.32297873,315.39275386
ENSG00000036473.6,81.73512985,97.33736507,61.47386017,60.66955952,91.87269886,89.74812847,91.15855606,51.7361081,55.09720060000001,51.57108457,51.92759658,85.04511662,94.33132636,129.39202723,158.97415821,110.22873989,100.83352212,52.45466868,95.62045395,81.4382152,91.40171391,106.7567211,67.33344268,70.18529093,84.08337302,62.25393387,132.54171167,70.15595809999999,179.68186883,54.30031170000001,89.5534546,97.10826572,77.49264609999999,64.33538856,82.37182832,65.41093543,48.4423445,85.95537403,65.53254386,90.92709555,133.30896483,108.40173743,80.02492825,151.74779402,151.93166173,75.87316059,84.03983675,90.37292436,49.72176902,96.24770162
