1,ENSG00000019169.10
2,ENSG00000034510.5
11,ENSG00000079462.6
14,ENSG00000088992.16
16,ENSG00000090382.5
20,ENSG00000100994.10
22,ENSG00000101210.9
27,ENSG00000105550.7
28,ENSG00000106211.8
32,ENSG00000109472.12
33,ENSG00000109846.6
39,ENSG00000113140.9
42,ENSG00000115009.10
46,ENSG00000118785.12
49,ENSG00000125148.6
54,ENSG00000130300.7
55,ENSG00000130513.6
58,ENSG00000131981.14
59,ENSG00000132329.9
61,ENSG00000133048.11
65,ENSG00000135821.15
66,ENSG00000135862.5
74,ENSG00000145824.11
76,ENSG00000147257.12
77,ENSG00000148346.10
78,ENSG00000148795.5
84,ENSG00000156006.4
90,ENSG00000160339.14
91,ENSG00000162366.6
94,ENSG00000163191.5
97,ENSG00000164266.9
101,ENSG00000165949.11
102,ENSG00000166165.11
104,ENSG00000167900.10
105,ENSG00000167910.3
106,ENSG00000169710.6
107,ENSG00000169715.13
109,ENSG00000171747.7
111,ENSG00000173702.6
115,ENSG00000175336.9
116,ENSG00000175793.11
122,ENSG00000181656.6
132,ENSG00000187498.13
133,ENSG00000187837.3
135,ENSG00000196139.10
138,ENSG00000197747.7
140,ENSG00000197956.8
141,ENSG00000198074.8
142,ENSG00000198417.6
146,ENSG00000205358.3
147,ENSG00000205364.3
151,ENSG00000237988.3
152,ENSG00000242265.4
159,mir105-2
160,mir10b
161,mir1251
162,mir1258
163,mir1266
164,mir1269b
165,mir182
166,mir183
167,mir184
169,mir196b
171,mir216b
172,mir224
176,mir3677
177,mir452
179,mir4661
184,mir9-2
