,TCGA-BC-A10Q-11A-11R,TCGA-BC-A10R-11A-11R,TCGA-BC-A10T-11A-11R,TCGA-BC-A10U-11A-11R,TCGA-BC-A10W-11A-11R,TCGA-BC-A10X-11A-11R,TCGA-BC-A10Y-11A-11R,TCGA-BC-A10Z-11A-11R,TCGA-BC-A110-11A-11R,TCGA-BC-A216-11A-11R,TCGA-BD-A2L6-11A-21R,TCGA-BD-A3EP-11A-12R,TCGA-DD-A113-11A-12R,TCGA-DD-A114-11A-12R,TCGA-DD-A116-11A-12R,TCGA-DD-A118-11A-11R,TCGA-DD-A119-11A-11R,TCGA-DD-A11A-11A-11R,TCGA-DD-A11B-11A-11R,TCGA-DD-A11C-11A-11R,TCGA-DD-A11D-11A-12R,TCGA-DD-A1EB-11A-11R,TCGA-DD-A1EC-11A-11R,TCGA-DD-A1EE-11A-11R,TCGA-DD-A1EG-11A-11R,TCGA-DD-A1EH-11A-11R,TCGA-DD-A1EI-11A-11R,TCGA-DD-A1EJ-11A-11R,TCGA-DD-A1EL-11A-11R,TCGA-DD-A39V-11A-11R,TCGA-DD-A39W-11A-11R,TCGA-DD-A39X-11A-11R,TCGA-DD-A39Z-11A-21R,TCGA-DD-A3A1-11A-11R,TCGA-DD-A3A2-11A-11R,TCGA-DD-A3A3-11A-11R,TCGA-DD-A3A4-11A-11R,TCGA-DD-A3A5-11A-11R,TCGA-DD-A3A6-11A-11R,TCGA-DD-A3A8-11A-11R,TCGA-EP-A12J-11A-11R,TCGA-EP-A26S-11A-12R,TCGA-EP-A3RK-11A-11R,TCGA-ES-A2HT-11A-11R,TCGA-FV-A23B-11A-11R,TCGA-FV-A2QR-11A-11R,TCGA-FV-A3I0-11A-11R,TCGA-FV-A3I1-11A-11R,TCGA-FV-A3R2-11A-11R,TCGA-G3-A3CH-11A-11R
1,7.43242762,89.64125789,16.09704247,23.04750275,27.33469276,21.44138142,21.84918505,11.16486365,38.33019018,26.88851868,114.09982502,30.11351963,18.05253767,54.43019024,19.41102234,35.44977598,91.93759848,103.44683043,4.88878872,39.58137637,33.58369199,44.13290745,61.1043189,69.25757236,44.69840509,20.53310732,24.39322075,43.84957018,34.53195899,20.34899996,21.449320800000002,33.10013078,2.96876604,84.75953990000002,34.26283742,58.11657751,89.19053502,6.58637988,0.67276507,29.39689534,27.09021947,14.74311825,9.53943461,10.98891428,35.06328517,49.09948863,9.67982039,33.39772792,41.40729188,24.92767483
2,221.23157996,266.85826468,196.92656459,218.99552141,364.17073133,153.33845924,217.2645864,468.33967806,194.35007314,241.13044141,926.50629284,237.08709124,148.62256904,459.16075423,204.496819,255.33250854,173.21675033,230.99098417,183.29151269,145.96027593,260.95038412,148.57117029,208.13084248,282.48372472,380.8505414,188.80528477,172.73613835,282.68608231,241.7648429,206.01658294,131.26205929,164.92749114,168.2910043,877.59947915,184.30384282,387.08843207,442.30324098,99.15423099,119.9157938,176.55059842,238.70098217,123.102751,141.11644092,579.09138858,376.41251507,875.53484278,132.73520833,134.70510097,397.63140729,262.55145556
11,1.28353799,0.77337943,1.3196013999999998,1.43092023,2.72161947,1.94222277,1.77204776,3.82144989,1.28077779,2.30838098,3.5567981,1.53576891,1.31874899,2.62961962,1.48379503,1.603969,1.79681641,2.98306756,1.42461426,2.40605189,1.40621904,1.42578436,3.06179979,2.82663413,1.43539741,1.41650851,2.47093626,2.45691318,1.64435153,1.63233112,1.08658522,3.58664934,3.76716406,5.84253843,1.47996305,3.18104087,4.18886021,1.71273726,2.14910352,1.37073287,1.30494228,1.12785214,1.37557695,3.47032604,2.71902749,5.58533787,0.96258342,0.99112194,2.92450604,1.17640223
14,1.0676801999999999,0.87052033,0.66699478,2.12651121,1.60227056,1.41782429,0.79837267,6.04912616,0.56810137,0.85467808,2.33216643,1.09853717,0.96068479,2.63519085,1.01398354,0.46425515,1.32382268,0.61334099,2.30328665,0.52374727,0.89522431,0.78209509,0.61697422,1.60087278,2.9397771,0.94952947,0.94694702,0.51812426,1.59970575,1.08336674,0.83194688,0.34985214,0.81256305,3.43640494,0.57725881,1.21523322,2.02914315,0.45140298,1.98814602,1.12683726,2.15951843,0.72708692,0.96566504,6.68120617,1.40393174,4.55134913,0.86994351,0.6101831,2.33504952,1.07355866
16,3.79695718,16.80596846,10.31892387,17.67915301,17.51463959,7.28865369,44.2614742,6.57422195,8.01099573,4.39249214,245.75469956,21.66158382,11.18043719,98.61350252,14.96320909,22.04207119,11.15448711,21.70043948,11.53948995,10.97505429,22.12965354,20.22618728,17.48293644,19.45882982,38.34758749,8.01365166,14.05799119,14.70838479,20.70362923,15.062469199999999,9.11777908,4.44561354,4.29637357,7.01688543,4.31561504,15.98973099,17.10566719,4.30130931,0.87089202,4.70075982,24.0790532,24.32614512,3.97729511,313.15410239,58.40123175,50.16966457,10.39657762,21.32997232,18.82029057,24.38933924
20,3.97464224,4.83765489,2.38466189,3.91387674,4.21518205,3.57736019,4.45583021,4.76013115,2.9015641,2.83936376,6.53856938,3.8683732,3.44948776,7.90910655,3.80920561,2.31954004,3.62370672,3.35073602,6.28181706,5.14237124,4.7025345000000005,4.46268658,3.58144382,5.40346573,3.41235443,2.58145044,5.44163522,3.08593878,5.38820505,4.45410074,4.21662154,2.49302468,2.83375716,4.40684188,2.5333456,3.0534435,5.32237936,2.64544583,2.63936431,8.26939606,9.64029311,3.36955866,4.0171242,7.32215473,5.78927374,7.64510324,2.32841055,3.05737703,4.19340437,5.20240487
22,0.41980315,0.06838393,0.18452053,0.59693922,2.9777833,0.20167125,0.90180386,2.61399425,0.17565187,0.1657764,0.31755343,0.45353266,0.5555197,5.67498727,0.12929901,0.01350728,0.13148567,0.37155570000000004,1.35765052,0.77363084,0.66637133,0.57422136,0.0277673,0.25843857,0.66138673,0.06570536,0.11276681,0.07556373,14.01597211,1.30735919,0.04521331,0.05002764,0.02629745,0.49779815,0.0538842,0.10715228,5.15598741,0.07880015,0.17145431,12.11522294,7.89594667,0.11397394,0.23867329999999998,42.60139303,4.00441381,1.95167132,0.73538302,0.07683262,0.14433005,0.12293286
27,2.56745468,10.16521894,2.98720743,3.4523803,2.36586869,30.29518761,4.9361939,30.88236307,2.57257273,2.4586208,2.70152523,5.06368703,3.60581309,0.65076359,1.88390241,0.33043438,1.07219617,1.92937949,15.49358498,17.32880017,6.9991073,11.51482849,7.35889888,1.3102114,2.26459918,18.24624629,5.75439514,144.45625285,13.94270531,13.83183465,8.45684251,11.2878037,10.18598668,15.45240799,5.72001008,3.74993056,82.64319977,2.65061629,9.15768167,41.19852921,0.56454667,2.36342835,6.98967413,11.51847141,10.06372609,36.17231521,14.25594854,12.0411134,6.97334199,1.61934637
28,56.45170064,37.17224516,70.90353998,64.72355391,110.20149163,51.94625328,90.28486078,121.59538941,31.92624115,32.430501799999995,80.94850840000002,62.48939325,99.57061786,72.47581201,35.10855986,36.66365611,32.25171335,46.85382528,80.15798351,42.43040851,74.17248562,44.26723577,41.63386598,43.39991579,79.73213317,65.35799608,59.33000104,99.4459507,59.98344796,56.73717439,64.0732057,50.53745795,66.88248914,157.65680405,53.25203742,84.80383902,145.93050496,62.28845061,82.00611662,79.75501039,51.95466579,83.06964939,62.74925817,134.39144501,70.24750631,146.90359462,61.267928299999994,45.39367111,101.63535487,82.28624073
32,1.70154378,3.03500663,3.06947851,6.68834458,9.96896125,4.63293339,5.4123779999999995,5.44518045,3.10966507,5.42441366,6.43296052,3.65505379,3.98767008,5.82093881,6.49388783,4.85486077,10.61104487,2.62909301,8.94128464,2.12481712,1.82727612,2.70093896,3.41463318,4.28010546,8.67993794,4.18295816,21.10683687,1.91312333,5.34306907,10.58742669,4.34887984,1.32799168,3.80456625,8.62810219,2.95991506,8.93797821,5.53677827,1.56977613,1.01545625,7.43391741,4.65167436,6.35249197,3.22472742,5.69842929,6.97619336,5.88171471,2.59205037,2.03209053,7.73896669,9.36931006
33,1.26516937,0.76863184,1.0621181999999998,1.95052158,1.56435818,1.20422381,2.08687044,3.05549882,0.78850462,0.95906077,3.40239422,1.46445071,1.55234043,1.28198473,0.97558109,0.74124469,1.19970058,1.16805677,2.00812778,0.76725616,1.00888033,0.6960430999999999,1.42588227,1.5918141000000001,2.14334323,1.36301268,1.30011235,1.58625324,1.17696264,1.0031984,0.78222212,0.70879173,1.07800484,2.67897231,1.00263996,1.98369457,3.05551985,1.08108674,0.81619939,1.21469865,1.14552506,1.22925355,0.76474454,2.08072179,3.15315969,4.36845275,1.41062571,1.46049101,2.5956196,0.9691069
39,32.60942938,28.07674053,30.90014257,35.87649195,28.5697781,36.42731336,37.84672005,19.58204563,28.46454378,30.52539375,60.86489123,24.41186555,23.45882505,37.29086883,21.62422307,18.54235502,31.12782349,33.81706726,27.32705147,26.88766723,27.88661456,27.23987318,57.31155401,26.13912059,25.77662231,21.74126978,34.00645405,24.64117225,43.31451785,24.12760549,23.86819981,16.09925082,18.82542656,17.04099542,22.13487636,45.94187759,49.50514627,9.02269965,5.48192435,23.16987317,29.22500565,24.21906308,21.28862252,32.67543762,50.34469364,65.57141504,17.95195968,23.4890194,25.74231215,27.11328946
42,2.05613333,2.16770347,3.3073553999999996,4.39354281,30.58385814,0.74366274,0.32327956,47.19983509,8.202392399999999,8.38178107,12.55124522,2.17407296,5.55785061,5.58040415,0.17040897,0.40350884,1.80684614,135.09097992,1.12892459,0.11555498,12.33355421,0.45084111,3.24889126,1.38155302,2.67148828,0.24535546,0.23160019,29.14799513,4.54029023,0.57015017,0.16883452,0.10674977,0.44517037,6.10399895,0.13797474,3.4499718999999995,0.77148831,0.72092169,0.2731694000000001,0.18294344,1.40000074,0.19151951,0.35649936,15.60455955,6.59353296,35.84929189,1.39675656,0.17214398,2.29953714,0.18362123
46,6.17652374,2.52829711,6.38849682,46.56029074,13.75462384,12.342686800000001,8.40987079,77.62343642,1.94959676,6.21108702,9.87337565,16.31732384,32.34056512,5.1432204000000015,9.52512025,2.67337216,6.74268648,3.92625818,7.9476259,0.8859423000000001,7.07813525,3.00318809,2.23988756,7.06535505,15.96524659,5.66460334,9.23456238,5.17025055,8.52017876,8.26414384,2.87867838,2.8104717,2.48497515,14.00775873,1.81627609,10.25911406,5.02011192,1.40467817,4.39615465,1.64077648,10.16285056,11.48207125,5.45851765,12.56306019,16.60981244,34.78090323,10.30265355,6.15077296,12.532409300000001,7.82971463
49,1795.40892063,1912.12838822,1500.65650267,2139.31881559,2683.91816034,1135.62395605,437.72956871,1462.59399771,4348.39983262,1762.45041045,1206.26299552,1648.09529485,1591.94688526,569.62723617,627.88596885,1548.45519081,1534.23596024,2105.77406329,622.72509689,479.10091528,948.87709561,935.39604399,972.13394408,1278.03652644,2461.87137395,1026.80271594,555.5341879,915.48500127,633.75040676,1682.72364974,931.66091718,1824.35474916,1185.52091149,3957.71930905,483.76777316,2806.02889489,1283.55302616,2352.31112418,2319.88704394,1183.18193198,313.498417,318.4167818,494.91087777,424.5073931,376.49819226,1462.15187612,2445.88633217,364.95233582,1470.78069113,1147.80724105
54,4.08678999,1.72588596,2.2104039,4.47979348,4.20435502,4.23968419,3.52385825,7.88066832,3.38720339,3.55631029,12.17405782,3.34119248,3.75820802,3.12107202,2.1512439,2.06890628,2.06736167,3.41661534,9.02598205,2.2386459999999997,3.79056333,1.94127639,2.57764067,3.48025495,3.4211300000000002,3.33086277,3.31832251,2.4934667999999998,1.82324553,2.99806855,1.81658137,1.01381715,5.08836493,7.72752096,3.26921326,4.53829812,7.27093901,1.07153685,2.53663127,4.9032018,4.5852532,2.99428229,3.37134302,3.52330216,10.33828476,10.6384374,1.72244385,2.58270128,6.30551415,4.30413935
