,ensembl
245,ENSG00000127948.12
246,ENSG00000128185.8
247,ENSG00000128228.4
248,ENSG00000128309.15
249,ENSG00000128311.12
250,ENSG00000128590.4
251,ENSG00000128641.16
252,ENSG00000128849.10
253,ENSG00000128928.7
254,ENSG00000129255.13
255,ENSG00000129596.4
256,ENSG00000129988.5
257,ENSG00000130005.10
258,ENSG00000130066.15
259,ENSG00000130203.8
260,ENSG00000130208.8
261,ENSG00000130255.11
262,ENSG00000130489.11
263,ENSG00000130649.8
264,ENSG00000130724.7
265,ENSG00000130748.6
266,ENSG00000130988.11
267,ENSG00000131143.7
268,ENSG00000131174.4
269,ENSG00000131469.11
270,ENSG00000131495.7
271,ENSG00000131781.11
272,ENSG00000131844.14
273,ENSG00000131979.17
274,ENSG00000132329.9
275,ENSG00000132386.9
276,ENSG00000132432.12
277,ENSG00000132703.3
278,ENSG00000132837.13
279,ENSG00000132840.8
280,ENSG00000133027.16
281,ENSG00000133315.9
282,ENSG00000133657.13
283,ENSG00000133835.13
284,ENSG00000134109.9
285,ENSG00000134240.10
286,ENSG00000134365.11
287,ENSG00000134463.13
288,ENSG00000134538.2
289,ENSG00000134809.7
290,ENSG00000134970.13
291,ENSG00000135094.9
292,ENSG00000135423.11
293,ENSG00000135437.8
294,ENSG00000135441.6
295,ENSG00000135617.3
296,ENSG00000135929.7
297,ENSG00000135940.5
298,ENSG00000136052.8
299,ENSG00000136149.6
300,ENSG00000136280.14
301,ENSG00000136371.8
302,ENSG00000136463.7
303,ENSG00000136868.10
304,ENSG00000136872.16
305,ENSG00000136881.10
306,ENSG00000136933.15
307,ENSG00000136942.13
308,ENSG00000137106.16
309,ENSG00000137133.9
310,ENSG00000137288.8
311,ENSG00000137491.13
312,ENSG00000137561.4
313,ENSG00000137642.11
314,ENSG00000137818.10
315,ENSG00000137880.5
316,ENSG00000137970.7
317,ENSG00000137992.13
318,ENSG00000138030.11
319,ENSG00000138115.12
320,ENSG00000138207.11
321,ENSG00000138308.5
322,ENSG00000138326.17
323,ENSG00000138356.12
324,ENSG00000138495.5
325,ENSG00000138606.18
326,ENSG00000138709.16
327,ENSG00000138792.8
328,ENSG00000138796.14
329,ENSG00000138823.11
330,ENSG00000139178.9
331,ENSG00000139194.6
332,ENSG00000139209.14
333,ENSG00000139343.9
334,ENSG00000139410.13
335,ENSG00000139428.10
336,ENSG00000139508.13
337,ENSG00000139531.11
338,ENSG00000139547.7
339,ENSG00000140093.8
340,ENSG00000140107.10
341,ENSG00000140263.12
342,ENSG00000140264.18
343,ENSG00000140284.9
344,ENSG00000140365.14
345,ENSG00000140479.15
346,ENSG00000140526.15
347,ENSG00000140691.15
348,ENSG00000140990.13
349,ENSG00000141338.12
350,ENSG00000141485.14
351,ENSG00000141504.10
352,ENSG00000141552.16
353,ENSG00000142168.13
354,ENSG00000142484.6
355,ENSG00000142507.8
356,ENSG00000142546.12
357,ENSG00000142684.7
358,ENSG00000143149.11
359,ENSG00000143257.10
360,ENSG00000143314.11
361,ENSG00000143365.15
362,ENSG00000143416.19
363,ENSG00000143774.15
364,ENSG00000143819.11
365,ENSG00000143845.13
366,ENSG00000143921.6
367,ENSG00000144357.15
368,ENSG00000144713.11
369,ENSG00000144852.15
370,ENSG00000144908.12
371,ENSG00000145020.13
372,ENSG00000145050.14
373,ENSG00000145321.11
374,ENSG00000145337.4
375,ENSG00000145391.12
376,ENSG00000145439.10
377,ENSG00000145494.10
378,ENSG00000145545.10
379,ENSG00000145592.12
380,ENSG00000145675.13
381,ENSG00000145703.14
382,ENSG00000145826.7
383,ENSG00000146066.2
384,ENSG00000146085.7
385,ENSG00000146233.6
386,ENSG00000146416.15
387,ENSG00000146648.14
388,ENSG00000146701.10
389,ENSG00000147123.10
390,ENSG00000147155.9
391,ENSG00000147576.14
392,ENSG00000147586.8
393,ENSG00000147647.11
394,ENSG00000147684.6
395,ENSG00000147813.14
396,ENSG00000148057.14
397,ENSG00000148218.14
398,ENSG00000148290.8
399,ENSG00000148291.8
400,ENSG00000148450.11
401,ENSG00000148584.13
402,ENSG00000148803.10
403,ENSG00000148834.11
404,ENSG00000148965.7
405,ENSG00000149124.9
406,ENSG00000149131.14
407,ENSG00000149806.9
408,ENSG00000149809.13
409,ENSG00000149932.15
410,ENSG00000150961.13
411,ENSG00000151224.11
412,ENSG00000151366.11
413,ENSG00000151552.10
414,ENSG00000151611.12
415,ENSG00000151726.12
416,ENSG00000152078.8
417,ENSG00000152082.12
418,ENSG00000152270.7
419,ENSG00000152620.11
420,ENSG00000152700.12
421,ENSG00000152782.15
422,ENSG00000153086.12
423,ENSG00000153561.11
424,ENSG00000154262.11
425,ENSG00000154305.15
426,ENSG00000156006.4
427,ENSG00000156222.10
428,ENSG00000156467.8
429,ENSG00000156482.9
430,ENSG00000156869.11
431,ENSG00000157103.9
432,ENSG00000157184.5
433,ENSG00000157326.17
434,ENSG00000157379.12
435,ENSG00000158104.10
436,ENSG00000158125.8
437,ENSG00000158552.11
438,ENSG00000158716.7
439,ENSG00000158828.5
440,ENSG00000158874.10
441,ENSG00000159335.14
442,ENSG00000159403.14
443,ENSG00000159423.15
444,ENSG00000159650.7
445,ENSG00000159921.13
446,ENSG00000160113.5
447,ENSG00000160233.7
448,ENSG00000160282.12
449,ENSG00000160783.18
450,ENSG00000160799.10
451,ENSG00000160862.11
452,ENSG00000160867.13
453,ENSG00000160948.12
454,ENSG00000160972.8
455,ENSG00000161016.14
456,ENSG00000161031.11
457,ENSG00000161267.10
458,ENSG00000161533.10
459,ENSG00000161944.15
460,ENSG00000162148.9
461,ENSG00000162244.9
462,ENSG00000162267.11
463,ENSG00000162365.10
464,ENSG00000162378.11
465,ENSG00000162482.4
466,ENSG00000162496.7
467,ENSG00000162882.13
468,ENSG00000162910.17
469,ENSG00000162928.8
470,ENSG00000163110.13
471,ENSG00000163344.5
472,ENSG00000163586.8
473,ENSG00000163626.15
474,ENSG00000163631.15
475,ENSG00000163683.10
476,ENSG00000163788.12
477,ENSG00000163825.3
478,ENSG00000163884.3
479,ENSG00000164038.13
480,ENSG00000164081.11
481,ENSG00000164089.7
482,ENSG00000164237.7
483,ENSG00000164344.14
484,ENSG00000164405.9
485,ENSG00000164466.11
486,ENSG00000164587.10
487,ENSG00000164904.14
488,ENSG00000164919.9
489,ENSG00000164967.8
490,ENSG00000165029.14
491,ENSG00000165140.8
492,ENSG00000165410.13
493,ENSG00000165471.6
494,ENSG00000165502.6
495,ENSG00000165672.6
496,ENSG00000165828.12
497,ENSG00000166136.14
498,ENSG00000166183.14
499,ENSG00000166228.7
500,ENSG00000166278.13
501,ENSG00000166391.13
502,ENSG00000166741.6
503,ENSG00000166816.12
504,ENSG00000166840.12
