,ensembl
0,ENSG00000001497.15
1,ENSG00000005075.14
2,ENSG00000005175.8
3,ENSG00000005421.7
4,ENSG00000005436.12
5,ENSG00000006625.16
6,ENSG00000007202.13
7,ENSG00000007384.14
8,ENSG00000007933.11
9,ENSG00000008283.14
10,ENSG00000009307.14
11,ENSG00000010626.13
12,ENSG00000010818.7
13,ENSG00000011009.9
14,ENSG00000012223.11
15,ENSG00000012963.12
16,ENSG00000013573.15
17,ENSG00000013725.13
18,ENSG00000013810.17
19,ENSG00000016391.9
20,ENSG00000018408.13
21,ENSG00000019169.10
22,ENSG00000021574.10
23,ENSG00000023445.12
24,ENSG00000023516.8
25,ENSG00000027869.10
26,ENSG00000029639.9
27,ENSG00000031698.11
28,ENSG00000037042.8
29,ENSG00000037749.10
30,ENSG00000041357.14
31,ENSG00000042088.12
32,ENSG00000044524.9
33,ENSG00000047634.13
34,ENSG00000047849.20
35,ENSG00000049541.9
36,ENSG00000053254.14
37,ENSG00000054277.11
38,ENSG00000054654.14
39,ENSG00000054793.12
40,ENSG00000054938.14
41,ENSG00000054983.15
42,ENSG00000058056.7
43,ENSG00000063854.11
44,ENSG00000064687.11
45,ENSG00000065154.10
46,ENSG00000065243.17
47,ENSG00000065328.15
48,ENSG00000065361.13
49,ENSG00000065457.9
50,ENSG00000065491.8
51,ENSG00000065548.16
52,ENSG00000065911.10
53,ENSG00000066455.11
54,ENSG00000066557.5
55,ENSG00000066654.11
56,ENSG00000067208.13
57,ENSG00000067445.19
58,ENSG00000067560.9
59,ENSG00000068137.13
60,ENSG00000068305.16
61,ENSG00000068308.12
62,ENSG00000068323.15
63,ENSG00000068354.14
64,ENSG00000068366.18
65,ENSG00000068383.17
66,ENSG00000068394.10
67,ENSG00000068438.13
68,ENSG00000068489.11
69,ENSG00000068650.17
70,ENSG00000068654.14
71,ENSG00000068697.6
72,ENSG00000068724.14
73,ENSG00000068745.13
74,ENSG00000068784.11
75,ENSG00000068796.15
76,ENSG00000068831.17
77,ENSG00000068878.13
78,ENSG00000068885.13
79,ENSG00000068912.12
80,ENSG00000068971.12
81,ENSG00000069020.17
82,ENSG00000069248.11
83,ENSG00000069275.12
84,ENSG00000069329.14
85,ENSG00000069345.10
86,ENSG00000069399.11
87,ENSG00000069493.13
88,ENSG00000069509.5
89,ENSG00000069535.13
90,ENSG00000069667.14
91,ENSG00000069696.6
92,ENSG00000069702.9
93,ENSG00000069849.9
94,ENSG00000069869.14
95,ENSG00000069943.8
96,ENSG00000069956.10
97,ENSG00000069974.14
98,ENSG00000070081.14
99,ENSG00000070087.12
100,ENSG00000070159.12
101,ENSG00000070269.12
102,ENSG00000070366.12
103,ENSG00000070367.14
104,ENSG00000070371.14
105,ENSG00000070404.8
106,ENSG00000070413.17
107,ENSG00000070423.16
