,ensembl
0,ENSG00000001167.13
1,ENSG00000001561.6
2,ENSG00000001617.10
3,ENSG00000001629.8
4,ENSG00000001631.13
5,ENSG00000002330.12
6,ENSG00000003056.6
7,ENSG00000003147.16
8,ENSG00000003393.13
9,ENSG00000004059.9
10,ENSG00000004478.7
11,ENSG00000004660.13
12,ENSG00000004700.14
13,ENSG00000004779.8
14,ENSG00000004864.12
15,ENSG00000004866.17
16,ENSG00000004897.10
17,ENSG00000004975.10
18,ENSG00000005073.5
19,ENSG00000005075.14
20,ENSG00000005238.18
21,ENSG00000005243.8
22,ENSG00000005339.11
23,ENSG00000005483.18
24,ENSG00000005486.15
25,ENSG00000005810.16
26,ENSG00000005893.14
27,ENSG00000006282.18
28,ENSG00000006453.12
29,ENSG00000006530.14
30,ENSG00000006695.9
31,ENSG00000006757.10
32,ENSG00000007080.9
33,ENSG00000007255.9
34,ENSG00000007402.10
35,ENSG00000007520.3
36,ENSG00000007541.13
37,ENSG00000007923.14
38,ENSG00000008018.8
39,ENSG00000008283.14
40,ENSG00000008294.19
41,ENSG00000008311.13
42,ENSG00000008324.9
43,ENSG00000008382.14
44,ENSG00000008988.8
45,ENSG00000009335.16
46,ENSG00000009413.14
47,ENSG00000010219.12
48,ENSG00000010244.15
49,ENSG00000010404.16
50,ENSG00000011009.9
51,ENSG00000011198.6
52,ENSG00000011295.14
53,ENSG00000011405.12
54,ENSG00000011451.16
55,ENSG00000011478.10
56,ENSG00000011566.13
57,ENSG00000012061.14
58,ENSG00000012174.10
59,ENSG00000013306.14
60,ENSG00000013503.8
61,ENSG00000013810.17
62,ENSG00000014123.9
63,ENSG00000014257.14
64,ENSG00000014824.12
65,ENSG00000015153.13
66,ENSG00000015171.17
67,ENSG00000015475.17
68,ENSG00000017260.18
69,ENSG00000017797.10
70,ENSG00000018408.13
71,ENSG00000019485.11
72,ENSG00000021776.9
73,ENSG00000022267.15
74,ENSG00000023171.13
75,ENSG00000023228.12
76,ENSG00000023287.11
77,ENSG00000023892.10
78,ENSG00000023902.12
79,ENSG00000024048.9
80,ENSG00000024422.10
81,ENSG00000025293.14
82,ENSG00000025770.17
83,ENSG00000025796.12
84,ENSG00000026297.14
85,ENSG00000027847.12
86,ENSG00000028116.15
87,ENSG00000029364.10
88,ENSG00000029725.15
89,ENSG00000030066.12
90,ENSG00000030582.15
91,ENSG00000032219.17
92,ENSG00000033011.10
93,ENSG00000035141.6
94,ENSG00000035403.15
95,ENSG00000035681.6
96,ENSG00000036054.11
97,ENSG00000036257.11
98,ENSG00000037241.6
99,ENSG00000037637.9
100,ENSG00000037749.10
101,ENSG00000037897.15
102,ENSG00000038358.13
103,ENSG00000039319.15
104,ENSG00000039650.8
105,ENSG00000040487.11
106,ENSG00000040531.13
107,ENSG00000040933.14
108,ENSG00000041357.14
109,ENSG00000041988.14
110,ENSG00000042286.13
111,ENSG00000042753.10
112,ENSG00000047315.13
113,ENSG00000047346.11
114,ENSG00000047644.16
115,ENSG00000047932.12
116,ENSG00000048162.18
117,ENSG00000048405.8
118,ENSG00000048471.12
119,ENSG00000048540.13
120,ENSG00000048649.12
121,ENSG00000048740.16
122,ENSG00000048828.15
123,ENSG00000049283.16
124,ENSG00000050748.16
125,ENSG00000051620.9
126,ENSG00000052723.10
127,ENSG00000053372.4
128,ENSG00000053918.14
129,ENSG00000054148.16
130,ENSG00000054267.19
131,ENSG00000054611.12
132,ENSG00000054965.9
133,ENSG00000055118.13
134,ENSG00000055208.16
135,ENSG00000055332.15
136,ENSG00000056097.14
137,ENSG00000056277.14
138,ENSG00000056972.17
139,ENSG00000057294.12
140,ENSG00000058091.15
141,ENSG00000058272.14
142,ENSG00000058668.13
143,ENSG00000058673.14
144,ENSG00000058799.12
145,ENSG00000059758.6
146,ENSG00000060642.9
147,ENSG00000060971.16
148,ENSG00000061656.8
149,ENSG00000061676.13
150,ENSG00000062582.12
151,ENSG00000062598.16
152,ENSG00000062725.8
